Data Lançamento;Documento;Conta Movimento;Operação;Valor Lançamento;Nr Cheque;Empresa;Plano de Contas;Histórico Movimento;Complemento Descrição
05/11/2025;DEB;4 - ITAU;Saída;745,55;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;50;2 - FINANCEIRO;DEB AUTOR SEM PARAR
05/11/2025;TAR;4 - ITAU;Saída;14,68;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
05/11/2025;EST;4 - ITAU;Entrada;745,55;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;91;2 - FINANCEIRO;EST DB AUTSEM PARAR
06/11/2025;TAR;4 - ITAU;Saída;23,96;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
07/11/2025;CRED;4 - ITAU;Entrada;2467,9;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;BOLETO RECEBIDO 07/11S
07/11/2025;TAR;4 - ITAU;Saída;55,08;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
10/11/2025;EST;4 - ITAU;Entrada;64,05;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;91;2 - FINANCEIRO;EST COPEL 0000001023446
10/11/2025;TAR;4 - ITAU;Saída;18,35;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
10/11/2025;LUZ;4 - ITAU;Saída;64,05;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;65;2 - FINANCEIRO;DA  COPEL 0000001023446
11/11/2025;CRED;4 - ITAU;Entrada;637,63;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;BOLETO RECEBIDO 11/11S
11/11/2025;TAR;4 - ITAU;Saída;7,34;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
11/11/2025;CRED;4 - ITAU;Entrada;24588,42;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;PIX RECEBIDO IND MOV11/11 - IND MOV TRES IRMAOS
12/11/2025;TAR;4 - ITAU;Saída;22,02;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
12/11/2025;CRED;4 - ITAU;Entrada;587;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;PIX RECEBIDO IND MOV12/11 - IND MOV TRES IRMAOS
13/11/2025;TAR;4 - ITAU;Saída;66,06;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
14/11/2025;TAR;4 - ITAU;Saída;14,68;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
17/11/2025;TAR;4 - ITAU;Saída;66,06;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
17/11/2025;DESC;4 - ITAU;Entrada;1569,6;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95;2 - FINANCEIRO;TIT DESC PG MAIOR 048885
17/11/2025;DESC;4 - ITAU;Entrada;1007,33;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95;2 - FINANCEIRO;TIT DESC PG MAIOR 048887
17/11/2025;TAR;4 - ITAU;Saída;14800,15;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JUROS       0616.60021-9
17/11/2025;DESC;4 - ITAU;Entrada;6112,27;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95;2 - FINANCEIRO;TIT DESC PG MAIOR 049404
17/11/2025;CRED;4 - ITAU;Entrada;6500,28;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;RECEBIMENTOS WESTROCK 53416 - WESTROCK, CELULOSE, PAPEL E EMBALAGENS LTDA
18/11/2025;TAR;4 - ITAU;Saída;11,01;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
18/11/2025;9017486;6 - BRADESCO;Saída;12;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR COMANDADA COBRANCA BX TIT PELO BENEFICIARIO00000002
19/11/2025;TAR;4 - ITAU;Saída;7,34;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
19/11/2025;CRED;4 - ITAU;Entrada;10547,91;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;BOLETO RECEBIDO 19/11S
21/11/2025;TAR;4 - ITAU;Saída;14,68;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
24/11/2025;9990328;6 - BRADESCO;Saída;9788;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;MORA CAPITAL DE GIRO
24/11/2025;1812431;6 - BRADESCO;Entrada;9800;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;TRANSFERENCIA PIX REM: WAFER SERVICOS LTDA   24/11
24/11/2025;TAR;4 - ITAU;Saída;368,39;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JR MORA DESC  00049272
24/11/2025;TAR;4 - ITAU;Saída;118;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TARIFA LIMITE DA CONTA
24/11/2025;TAR;4 - ITAU;Saída;10500;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;DESC DP BAIXA 00049310
24/11/2025;TAR;4 - ITAU;Saída;75,21;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JR MORA DESC  00049310
24/11/2025;TAR;4 - ITAU;Saída;15000;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;DESC DP BAIXA 00049272
24/11/2025;TAR;4 - ITAU;Saída;14,68;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
24/11/2025;TAR;4 - ITAU;Saída;1311,73;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;ENC MORAT 05/12
24/11/2025;TAR;4 - ITAU;Saída;86,46;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;MULTA FINANC VEIC  38/48
24/11/2025;TAR;4 - ITAU;Saída;7,15;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR PIX PGTO TRANSF
24/11/2025;TAR;4 - ITAU;Saída;809;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR CTA EMP MENSAL 10/25
24/11/2025;CARRO;4 - ITAU;Saída;4323,01;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;45;2 - FINANCEIRO;FIN VEIC    38/48
24/11/2025;TAR;4 - ITAU;Saída;1065,83;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;MULTA GIROPRE      05/12
24/11/2025;TAR;4 - ITAU;Saída;10,29;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;C PERM FINANC VEIC 38/48
24/11/2025;TAR;4 - ITAU;Saída;53291,6;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;CAPITAL GIROPRE
24/11/2025;CRED;4 - ITAU;Entrada;100000;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;TED RECEBIDA 237.3409.M D M L - M D MOVEIS LTDA
25/11/2025;TAR;4 - ITAU;Entrada;0,07;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;BO  TAR ADIANT
25/11/2025;TAR;4 - ITAU;Entrada;0,34;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;BO  TAR ADIANT
25/11/2025;TAR;7 - SANTANDER;Saída;9,19;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;DEB. CUSTAS CARTORARIAS COBRANCA  2190/003155234
25/11/2025;TAR;4 - ITAU;Saída;7,34;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
25/11/2025;TAR;4 - ITAU;Entrada;0,36;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;BO  TAR ADIANT
25/11/2025;TAR;4 - ITAU;Entrada;0,33;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;BO  TAR ADIANT
26/11/2025;TAR;4 - ITAU;Saída;1404,37;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;BX TIT  DESC 050054
26/11/2025;CRED;4 - ITAU;Entrada;15000;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;TED RECEBIDA 748.0720.SANDRO J D - SANDRO JOSE DE OLIVEIRA CIRELLI
26/11/2025;TAR;4 - ITAU;Saída;1436,02;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;BX TIT  DESC 050053
26/11/2025;TAR;4 - ITAU;Saída;14,68;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
27/11/2025;TAR;7 - SANTANDER;Saída;89;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TARIFA ADIANTAMENTO DEPOSITANTE  25/11/2025
27/11/2025;DEB;4 - ITAU;Saída;14000;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95;2 - FINANCEIRO;SISPAG FORNECEDORES
28/11/2025;TAR;4 - ITAU;Saída;3,67;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
28/11/2025;TAR;4 - ITAU;Saída;87917,67;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;GIROPRE
01/12/2025;TAR;7 - SANTANDER;Saída;0,07;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;IOF IMPOSTO OPERACOES FINANCEIRAS  PERIODO: 01/11 A 30/11/25
01/12/2025;TAR;7 - SANTANDER;Saída;0,38;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;IOF ADICIONAL - AUTOMATICO  PERIODO: 01/11 A 30/11/25
01/12/2025;TAR;7 - SANTANDER;Saída;1,92;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JUROS ADIANTAMENTO A DEPOSITANTES  PERIODO: 17/11 A 30/11/25
01/12/2025;TAR;4 - ITAU;Saída;51270,13;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JUROS LIMITE DA CONTA
01/12/2025;TAR;4 - ITAU;Saída;3,67;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
01/12/2025;TAR;4 - ITAU;Saída;5001,44;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JUROS EXCESSO LIM CONTA
01/12/2025;TAR;7 - SANTANDER;Saída;1,96;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;MULTA MORATORIA - ATRASO  PERIODO: 17/11 A 30/11/25
02/12/2025;TAR;4 - ITAU;Saída;1117,72;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;IOF 0616.60021-9/    C/C
02/12/2025;TAR;4 - ITAU;Saída;1528,9;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;IOF
03/12/2025;251203;6 - BRADESCO;Saída;0,41;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;ENCARGOS DESCOBERTO CC
05/12/2025;DEB;4 - ITAU;Saída;281;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;50;2 - FINANCEIRO;DEB AUTOR SEM PARAR
05/12/2025;EST;4 - ITAU;Entrada;281;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;91;2 - FINANCEIRO;EST DB AUTSEM PARAR
05/12/2025;TAR;4 - ITAU;Saída;7,34;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
08/12/2025;TAR;4 - ITAU;Saída;3,67;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
09/12/2025;31125;6 - BRADESCO;Saída;415,26;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TARIFA BANCARIA CESTA EMPRESARIAL 5
09/12/2025;9990342;6 - BRADESCO;Saída;10633,48;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;MORA CAPITAL DE GIRO
