Data Lançamento;Documento;Conta Movimento;Operação;Valor Lançamento;Nr Cheque;Empresa;Plano de Contas;Histórico Movimento;Complemento Descrição
04/11/2025;1242535;6 - BRADESCO;Saída;22.726,86;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SERGIO DE OLIVEIRA SA 04/11
04/11/2025;1242545;6 - BRADESCO;Saída;33.944,48;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: EDSON DE OLIVEIRA BRA 04/11
04/11/2025;1242557;6 - BRADESCO;Saída;25.372,30;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FABIO JUNIOR JONAS 04/11
04/11/2025;1242568;6 - BRADESCO;Saída;80.959,25;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MAIKON ROBERTO CARDOZ 04/11
04/11/2025;1242579;6 - BRADESCO;Saída;29.962,52;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: PATRICIA CRISTINA ZOR 04/11
04/11/2025;1242589;6 - BRADESCO;Saída;35.771,17;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SUEMAR JOSE DA COSTA 04/11
04/11/2025;1243004;6 - BRADESCO;Saída;2.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FRANCISCO QUEIROZ VIE 04/11
04/11/2025;1310042;6 - BRADESCO;Saída;29.166,24;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: WAGNER INACIO DE SOUZ 04/11
04/11/2025;1426152;6 - BRADESCO;Saída;32.313,90;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: Vinicius de Lara Bele 04/11
04/11/2025;1426417;6 - BRADESCO;Saída;680,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: NORMATIC TRATAMENTOS 04/11
04/11/2025;1515179;6 - BRADESCO;Saída;52,87;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: VOGA 04/11
04/11/2025;1515256;6 - BRADESCO;Saída;7.444,14;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MACLINEA - MAQUINAS E 04/11
04/11/2025;1515273;6 - BRADESCO;Saída;1.500,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: BRE-MAX ADMINISTRACAO 04/11
04/11/2025;1625451;6 - BRADESCO;Saída;8.126,20;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SOMA COOPERATIVA DE T 04/11
04/11/2025;1515221;6 - BRADESCO;Saída;1.371,40;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: AMIL ASSISTENCIA MEDI 04/11
04/11/2025;5970102;6 - BRADESCO;Saída;26.958,79;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;65 - 1.4.14 - Luz;2 - FINANCEIRO;CONTA DE LUZ INTERNET --COPEL DISTRIB./PR
05/11/2025;4501778;6 - BRADESCO;Entrada;3.357.720,71;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;CAMBIO FINANCEIRO CAMBIO FIN C CTR 000000533240228
05/11/2025;5891069;6 - BRADESCO;Saída;2.278,37;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRONICO TRIBUTO INTERNET --PR/SEFAZ
05/11/2025;5891498;6 - BRADESCO;Saída;26.556,21;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRONICO TRIBUTO INTERNET --PR/SEFAZ
05/11/2025;5749648;6 - BRADESCO;Saída;500,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSF CC PARA CC PJ EDSON DOMINGOS DE MORAES
05/11/2025;6633809;6 - BRADESCO;Saída;22.717,59;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSF CC PARA CC PJ LUCAS MARTINS PEREIRA
05/11/2025;4501778;6 - BRADESCO;Saída;450,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;EDICAO CONTRATO CAMBIO CAMBIO FIN C CTR 000000533240228
05/11/2025;4501778;6 - BRADESCO;Saída;225,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;LIQUID.ORDEM.PAGTO.EXP CAMBIO FIN C CTR 000000533240228
05/11/2025;1204312;6 - BRADESCO;Saída;1.527,58;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: A4CONSULT TI 05/11
05/11/2025;1409537;6 - BRADESCO;Saída;700.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: USIFIX - INDUSTRIA E 05/11
05/11/2025;1530478;6 - BRADESCO;Saída;250,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TRANSCIC 05/11
05/11/2025;1530493;6 - BRADESCO;Saída;4.673,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: DEMIL EXPRESS ENTREGA 05/11
05/11/2025;1758305;6 - BRADESCO;Saída;20.899,22;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LOGISTIC CO. INTERNAC 05/11
05/11/2025;1843328;6 - BRADESCO;Saída;510,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: PODIUM MANGUEIRAS MRO 05/11
05/11/2025;1901563;6 - BRADESCO;Saída;16.477,29;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SOMA COOPERATIVA DE T 05/11
05/11/2025;1901581;6 - BRADESCO;Saída;24.040,94;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FABIO JULIO DE MELO 05/11
05/11/2025;1901596;6 - BRADESCO;Saída;10.924,42;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: HALLAN SIQUEIRA CORTE 05/11
05/11/2025;1902015;6 - BRADESCO;Saída;14.417,64;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOAO ALEXANDRE MANOSO 05/11
05/11/2025;1902037;6 - BRADESCO;Saída;17.004,99;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LUCIANO SILVA 05/11
05/11/2025;1902053;6 - BRADESCO;Saída;14.590,72;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MARCIO QUEDAS TEIXEIR 05/11
05/11/2025;1902066;6 - BRADESCO;Saída;11.675,18;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: GEOVANI TEODORO DA SI 05/11
05/11/2025;1902075;6 - BRADESCO;Saída;13.405,87;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MARCOS ANTONIO SUMAN 05/11
05/11/2025;1902085;6 - BRADESCO;Saída;37.656,53;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: Rodrigo de Carvalho J 05/11
05/11/2025;1911106;6 - BRADESCO;Saída;31.700,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: BRE-MAX ADMINISTRACAO 05/11
05/11/2025;1930045;6 - BRADESCO;Saída;44.350,81;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: DOUGLAS ZARINELLO 05/11
05/11/2025;1930049;6 - BRADESCO;Saída;40.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MDS INSTALACAO DE MAQ 05/11
05/11/2025;1531192;6 - BRADESCO;Saída;611.771,37;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: CEF MATRIZ 05/11
06/11/2025;;6 - BRADESCO;Entrada;0,49;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;DES: CEF MATRIZ 05/11 RENTAB.INVEST FACILCRED* 6605424 0,06 1.697.102,79
06/11/2025;;6 - BRADESCO;Entrada;0,06;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;06/11/2025 RENTAB.INVEST FACILCRED* 354950 0,49 1.697.102,73 TRANSF CC PARA CC PJ
06/11/2025;5749104;6 - BRADESCO;Saída;8.348,46;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSF CC PARA CC PJ EDSON DOMINGOS DE MORAES
06/11/2025;5749549;6 - BRADESCO;Saída;5.086,19;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSF CC PARA CC PJ ANTONIO CARLOS DE SOUZA
06/11/2025;1132141;6 - BRADESCO;Saída;1.220,02;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: IMDEPA ROLAMENTOS 06/11
06/11/2025;1132160;6 - BRADESCO;Saída;1.793,40;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: VOGA 06/11
06/11/2025;1219331;6 - BRADESCO;Saída;8.045,13;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FABIO ALEXANDRE DA SI 06/11
06/11/2025;1219341;6 - BRADESCO;Saída;4.612,41;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JAIR MEIRELES DA SILV 06/11
06/11/2025;1219354;6 - BRADESCO;Saída;8.802,83;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LUCIANO DE CAMPOS SIL 06/11
06/11/2025;1219362;6 - BRADESCO;Saída;6.089,84;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FELIPE DE LIMA PINTO 06/11
06/11/2025;1219364;6 - BRADESCO;Saída;3.091,96;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: GUSTAVO LUIS ROCHEMBA 06/11
06/11/2025;1219367;6 - BRADESCO;Saída;8.312,44;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TIAGO FIOREZE 06/11
06/11/2025;1219370;6 - BRADESCO;Saída;3.075,19;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: VANDERLEY JONAS 06/11
06/11/2025;1219386;6 - BRADESCO;Saída;3.409,44;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ADRIANO APARECIDO LOP 06/11
06/11/2025;1219401;6 - BRADESCO;Saída;1.222,76;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ANA BEATRIZ NASCIMENT 06/11
06/11/2025;1219418;6 - BRADESCO;Saída;2.735,09;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ANA PAULA DE OLIVEIRA 06/11
06/11/2025;1219427;6 - BRADESCO;Saída;6.498,07;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: Anderson Junio da Sil 06/11
06/11/2025;1219447;6 - BRADESCO;Saída;4.402,79;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ANDERSON TABORDA DA F 06/11
06/11/2025;1219466;6 - BRADESCO;Saída;6.907,98;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ARLETE DOS SANTOS MEL 06/11
06/11/2025;1223591;6 - BRADESCO;Saída;8.239,22;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: CINTIA BARBARA DA CUN 06/11
06/11/2025;1224011;6 - BRADESCO;Saída;6.800,56;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FRANCISCO QUEIROZ VIE 06/11
06/11/2025;1224035;6 - BRADESCO;Saída;11.280,87;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOAO OCTAVIO DE LIMA 06/11
06/11/2025;1224055;6 - BRADESCO;Saída;4.603,66;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JORGE ANTONIO SIQUEIR 06/11
06/11/2025;1224076;6 - BRADESCO;Saída;5.220,20;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOSOEL DE CAMARGO SIL 06/11
06/11/2025;;6 - BRADESCO;Saída;4.693,31;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;Folha 3/5 TRANSFERENCIA PIX
06/11/2025;1224111;6 - BRADESCO;Saída;5.600,38;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ROBERTSON DO NASCIMEN 06/11
06/11/2025;1224127;6 - BRADESCO;Saída;2.724,52;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: VALTONIR DA COSTA 06/11
06/11/2025;1224139;6 - BRADESCO;Saída;7.285,47;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MAGDA LUCIA GIACOMELL 06/11
06/11/2025;1224154;6 - BRADESCO;Saída;2.296,66;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MARIA EDUARDA DRUZYK 06/11
06/11/2025;1224166;6 - BRADESCO;Saída;5.458,08;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MAURICIO MASSARIN 06/11
06/11/2025;1224177;6 - BRADESCO;Saída;4.398,65;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: Rodrigo Kavalkievicz 06/11
06/11/2025;1224191;6 - BRADESCO;Saída;3.789,50;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TATIANE APARECIDA FAR 06/11
06/11/2025;1224203;6 - BRADESCO;Saída;12.833,84;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOSE ALEXANDRE COELHO 06/11
06/11/2025;1227139;6 - BRADESCO;Saída;3.219,84;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOSE CARLOS DUCATE SA 06/11
06/11/2025;1248102;6 - BRADESCO;Saída;40.892,91;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ITALSERVICE AUTOMACAO 06/11
06/11/2025;1252224;6 - BRADESCO;Saída;2.906,67;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: IDETE FERNANDES DE CA 06/11
06/11/2025;1335204;6 - BRADESCO;Saída;30.680,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: FLY SERVICOS E CONSUL 06/11
06/11/2025;1438281;6 - BRADESCO;Saída;15.874,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: J.M.C. AUTOMACAO INDU 06/11
06/11/2025;1438298;6 - BRADESCO;Saída;15.043,36;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: J.O.F. SOLUCOES EM RE 06/11
06/11/2025;1438310;6 - BRADESCO;Saída;7.709,15;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TORNEARIA PRECIMAX LT 06/11
06/11/2025;1438325;6 - BRADESCO;Saída;7.484,64;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LOGISTIC CO. INTERNAC 06/11
06/11/2025;1438337;6 - BRADESCO;Saída;4.550,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SOFKA SEGURANCA LTDA 06/11
06/11/2025;1438349;6 - BRADESCO;Saída;26.589,15;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: UNIKER ALIMENTOS 06/11
06/11/2025;1719119;6 - BRADESCO;Saída;15.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ALVIN ALONSO FRANCIS 06/11
06/11/2025;1719356;6 - BRADESCO;Saída;38.036,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: AZANHA AZANHA CONTAD 06/11
06/11/2025;1720025;6 - BRADESCO;Saída;3.881,70;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: EDSON VALERIO NASILOW 06/11
